"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Updates post with PUT @SMOKE @PUT","chromium","2026-06-03","passed","2026-06-03","API · Posts Update @API @POSTS","","",""
"","26","Gets all posts @SMOKE @GET","chromium","2026-06-03","passed","2026-06-03","API · Posts Get @API @POSTS","","",""
"","14","Gets a single post @GET","chromium","2026-06-03","passed","2026-06-03","API · Posts Get @API @POSTS","","",""
"","1594","Shows error for mismatched passwords","chromium","2026-06-03","passed","2026-06-03","UI · Registration @UI @AUTH","","",""
"","133","Partially updates post with PATCH @PATCH","chromium","2026-06-03","passed","2026-06-03","API · Posts Update @API @POSTS","","",""
"","2371","Search for non-existing product shows no results","chromium","2026-06-03","passed","2026-06-03","UI · Search @UI @SEARCH","","",""
"","2105","Subscribe to newsletter with valid email @SMOKE","chromium","2026-06-03","passed","2026-06-03","UI · Newsletter @UI @NEWSLETTER","","",""
"","2483","Search for existing product returns results @SMOKE","chromium","2026-06-03","passed","2026-06-03","UI · Search @UI @SEARCH","","",""
"","2322","Successful registration with random data @SMOKE","chromium","2026-06-03","passed","2026-06-03","UI · Registration @UI @AUTH","","",""
"","145","Creates a new post @SMOKE @POST","chromium","2026-06-03","passed","2026-06-03","API · Posts @API @POSTS","","",""
"","1794","Shows error for invalid credentials","chromium","2026-06-03","passed","2026-06-03","UI · Authentication @UI @AUTH","","",""
"","42","Creates and deletes post successfully @SMOKE @DELETE","chromium","2026-06-03","passed","2026-06-03","API · Posts Delete @API @POSTS","","",""
"","1761","Successful login with valid credentials @SMOKE","chromium","2026-06-03","passed","2026-06-03","UI · Authentication @UI @AUTH","","",""
"","30","Creates comment for post @POST","chromium","2026-06-03","passed","2026-06-03","API · Comments @API @COMMENTS","","",""
"","85","Gets comments by post @SMOKE @GET","chromium","2026-06-03","passed","2026-06-03","API · Comments @API @COMMENTS","","",""
"","5407","Add product to cart and remove it @SMOKE","chromium","2026-06-03","passed","2026-06-03","UI · Cart @UI @CART","","",""
